,Total_Sales,Year,cleaned_name,curb_weight_lbs,speed_sec,horsepower_hp,width_in,msrp,pass_capacity,doors,wheelbase_in,height_in,tank_cap_gal,length_in,vol_cubft,mpg_comb,drivetrain,fuel,class,transmission
59,74415.0,2005,scion tc,,7.96,160.0,69.1,2400.0,5.0,2.0,106.3,55.7,14.5,174.0,85.0,23.0,front wheel,gas,subcompact,AT
60,85557.0,2005,chrysler pacifica,4427.4,8.22,250.0,79.3,29551.0,5.6,4.0,116.3,66.5,23.0,198.9,143.42000000000002,20.0,all wheel,gas,large,AT
61,72838.0,2005,nissan frontier,,7.09,265.0,72.8,3562.0,,,125.9,69.7,21.1,205.5,,16.5,rear wheel,gas,,
62,87011.0,2005,chevrolet suburban,,7.625,308.3333333333333,,40655.0,8.4,4.0,130.0,75.28,33.4,,,16.0,four wheel,gas,,DCT
63,104051.0,2005,dodge dakota,,,210.0,,2982.0,3.0,2.0,131.3,68.7,22.0,,,19.0,rear wheel,gas,,
64,67577.0,2005,lexus es,3472.0,7.57,225.0,71.3,32175.0,5.0,4.0,107.1,57.3,18.5,191.1,96.4,25.0,front wheel,gas,compact,DCT
65,107862.0,2005,gmc envoy,,7.11,275.0,74.7,4899.0,,,113.0,71.9,22.0,191.6,,16.5,four wheel,gas,,
66,76156.0,2005,nissan pathfinder,4588.875,,,,29150.0,7.0,4.0,112.20000000000002,73.1,21.1,,149.1,,rear wheel,gas,suv,AT
67,56088.0,2005,kia spectra,,,,68.3,2433.0,5.0,4.0,102.8,57.9,14.5,170.9,195.0,25.0,front wheel,gas,midsize,AT
68,86945.0,2005,nissan titan,,,305.0,78.8,28800.0,5.0,3.0,139.80000000000004,75.85,28.0,,,16.0,rear wheel,gas,,AT
69,73458.0,2005,gmc yukon,,7.06,335.0,78.9,37542.5,5.5,4.0,116.0,76.6,26.0,198.9,,14.0,four wheel,gas,,DCT
70,78218.0,2005,acura tl,,6.76,270.0,72.2,5265.0,5.0,4.0,107.9,56.7,17.0,189.3,98.0,21.0,front wheel,gas,midsize,MT
71,92669.0,2005,buick lacrosse,3521.6666666666665,8.31,200.0,73.0,25501.666666666668,5.0,4.0,110.5,57.4,17.0,198.1,99.40000000000002,24.5,front wheel,gas,midsize,DCT
72,115439.0,2005,dodge durango,4963.666666666667,8.69,230.0,,31788.33333333333,6.333333333333333,4.0,119.2,74.3,27.0,200.8,155.1,16.0,four wheel,gas,suv,AT
73,75425.0,2005,nissan maxima,3458.6666666666665,6.18,265.0,71.7,28250.0,5.0,4.0,111.2,58.29999999999999,20.0,193.5,104.0,21.0,front wheel,gas,midsize,MT
74,90294.0,2005,chrysler sebring,,,,,,,,,,,,86.0,21.0,front wheel,gas,compact,AT
75,71447.0,2005,mazda 6,,8.36,160.0,70.1,2849.0,,,105.3,56.7,18.0,186.8,192.0,23.0,front wheel,gas,midsize,MT
76,68006.0,2005,hyundai santa fe,3777.8333333333335,8.73,200.0,,23582.33333333333,5.0,4.0,103.1,66.0,19.0,,100.7,20.0,four wheel,gas,suv,DCT
77,63939.0,2005,ford crown victoria,,7.88,224.0,77.3,4000.0,,,114.7,56.8,19.0,212.0,111.0,19.0,rear wheel,gas,large,AT
78,72447.0,2005,nissan xterra,,7.02,265.0,72.8,4102.0,5.0,4.0,106.3,,21.1,,,18.5,four wheel,gas,,
