,Total_Sales,cleaned_name,curb_weight_lbs,speed_sec,msrp,pass_capacity,doors,wheelbase_in,tank_cap_gal,vol_cubft,mpg_comb,Year,height_in,length_in,width_in,drivetrain,transmission,class,horsepower_hp,hybrid,fuel_type
162,72980.0,chevrolet uplander,,9.99,3936.0,7.0,4.0,121.1,25.0,,21.0,2005,72.0,204.3,72.0,front wheel,,,200.0,,gas
163,76739.0,ford freestyle,,,4266.0,6.0,4.0,112.9,19.0,,23.5,2005,65.9,199.8,74.4,front wheel,,,203.0,,gas
164,68085.0,chevrolet aveo,,9.46,1929.0,,,97.6,11.0,91.0,26.0,2005,58.8,152.7,65.7,front wheel,AT,compact,103.0,True,Hybrid
165,23322.0,cadillac dts,,,,,,,,,,2005,183.0,153.0,107.0,Front-wheel drive,4 Speed Automatic,Automatic transmission,275.0,True,Hybrid
167,63186.0,chevrolet avalanche,,8.095,5551.0,6.0,4.0,130.0,33.0,,16.0,2005,73.6,245.0,217.0,four wheel,6 Speed Automatic,Automatic transmission,303.3333333333333,True,Hybrid
169,52837.0,kia sedona,4802.0,10.74,22250.0,7.0,4.0,114.6,19.8,,17.0,2005,69.3,194.1,74.6,front wheel,AT,minivan,195.0,True,Hybrid
172,52722.0,bmw 5,3567.6666666666665,7.5,47500.0,5.0,4.0,113.7,18.5,99.09999999999998,21.5,2005,57.79999999999999,190.6,72.7,rear wheel,MT,compact,184.0,,gas
173,61512.0,cadillac cts,3509.0,6.91,31315.0,5.0,4.0,113.4,17.0,99.0,19.0,2005,56.7,190.1,70.6,rear wheel,MT,midsize,210.0,,gas
174,64716.0,mercury grand marquis,,7.37,4596.0,5.0,4.0,114.7,19.0,109.0,19.0,2005,56.8,212.0,78.2,rear wheel,AT,large,239.0,True,Hybrid
176,15789.0,lexus is,,6.42,4460.0,,,105.1,17.5,89.2,19.5,2005,55.5,176.6,67.9,rear wheel,6 Speed Manual,Manual transmission,215.0,True,Hybrid
179,49233.0,volkswagen passat,3525.454545454545,8.2,27425.0,5.0,4.0,106.4,16.400000000000002,95.0,23.0,2005,59.0,184.3,68.7,front wheel,DCT,midsize,190.0,True,Hybrid
180,57948.0,acura mdx,4498.2,7.16,40860.0,7.0,4.0,106.3,19.2,161.5,18.0,2005,68.7,188.7,77.0,four wheel,AT,special purpose,265.0,True,Hybrid
183,33140.0,hummer h3,,,,,,,,,,2005,,,,,,,,,
184,61048.0,hyundai tucson,3395.285714285714,8.81,20077.571428571428,5.0,4.0,103.5,16.385714285714286,102.6,23.5,2005,68.10000000000001,47.0,29.0,front wheel,DCT,suv,140.0,True,Hybrid
187,56262.0,honda element,,8.86,3258.0,4.0,4.0,101.4,15.9,,22.5,2005,70.4,219.0,71.5,four wheel,5 Speed Automatic,Automatic transmission,160.0,True,Hybrid
189,99648.0,dodge stratus,,9.61,3053.0,,,108.0,16.0,86.0,21.0,2005,54.9,191.2,70.6,front wheel,AT,compact,150.0,,gas
190,53541.0,subaru forester,3190.0,6.21,25235.90909090909,5.0,4.0,99.4,15.900000000000004,92.45454545454548,21.5,2005,65.0,207.0,244.0,all wheel,DCT,suv,210.0,True,Hybrid
193,47610.0,kia sorento,4275.0,8.99,22565.0,5.0,4.0,106.7,21.1,105.8,17.5,2005,70.23333333333333,179.8,73.3,rear wheel,AT,suv,192.0,True,Hybrid
195,50383.0,mercedes benz e class,3950.1,8.2,59585.0,5.6,4.0,112.4,21.1,96.78000000000002,28.0,2005,57.88000000000001,189.7,71.3,rear wheel,AT,midsize,201.0,,gas
196,42593.0,honda ridgeline,,,,,,,,,,2005,249.0,137.0,184.0,Four-wheel drive,5 Speed Automatic,Automatic transmission,250.0,True,Hybrid
198,60658.0,mercedes benz c class,3427.083333333333,7.06,34745.833333333336,4.833333333333333,3.6666666666666665,106.90000000000002,16.400000000000002,86.03333333333335,24.5,2005,55.58333333333334,171.0,68.0,rear wheel,AT,compact,189.0,True,Hybrid
200,77585.0,ford freestar,,9.83,4913.0,7.0,4.0,120.8,26.0,206.8,20.0,2005,70.6,,76.4,front wheel,,,201.0,,gas
201,48922.0,audi a4,3574.060606060606,7.01,31915.757575757576,4.909090909090909,3.8181818181818175,104.31818181818186,17.409090909090907,90.0,23.0,2005,56.0727272727273,180.6,69.8,all wheel,MT,compact,200.0,,gas
202,41394.0,suzuki forenza reno,,,,,,,,,,2005,,,,,,,,,
203,60589.0,buick rendezvous,,7.34,,,,,18.0,,21.5,2005,,,,all wheel,,,245.0,,
204,53652.0,gmc yukon xl,,7.68,41342.5,8.5,4.0,130.0,34.0,,16.0,2005,76.32500000000002,16.0,217.0,four wheel,DCT,Automatic transmission,308.3333333333333,True,Hybrid
207,64271.0,pontiac vibe,,8.8,2569.0,,,102.4,13.0,94.0,27.0,2005,62.2,171.9,69.9,front wheel,AT,small station wagon,130.0,,gas
208,10303.0,gmc torrent,,,,,,,,,,2005,,,,,,,,,
