,Total_Sales,cleaned_name,curb_weight_lbs,speed_sec,msrp,pass_capacity,doors,wheelbase_in,tank_cap_gal,vol_cubft,mpg_comb,class,Year,height_in,length_in,width_in,drivetrain,transmission,fuel,horsepower_hp
2145,21944.0,mercedes benz glk,,,,,,,,,,,2009,,,,,,,
2146,21889.0,hyundai genesis,,6.12,8062.0,,,115.6,19.3,109.0,21.0,large,2009,58.3,195.9,73.4,rear wheel,AT,gas,290.0
2147,21471.0,nissan cube,,,4197.0,5.0,4.0,99.6,13.2,98.0,29.0,small station wagon,2009,115.0,156.7,66.7,front wheel,AT,gas,122.0
2150,21433.0,lincoln mkx,4315.0,,38770.0,5.0,4.0,111.2,19.5,108.4,18.5,suv,2009,67.3,134.0,138.0,front wheel,AT,gas,305.0
2153,21395.0,saturn aura,,9.32,5663.0,5.0,4.0,112.3,16.0,98.0,26.0,midsize,2009,57.6,190.9,70.3,front wheel,AT,gas,169.0
2154,21132.0,mazda cx 9,4442.0,7.73,32480.0,7.0,4.0,113.2,20.1,139.20000000000000,17.5,suv,2009,68.0,221.0,143.0,front wheel,AT,gas,273.0
2157,20713.0,suzuki aerio sx4,2981,8.2,"15,995",5,4,98.4,11,104,24,subcompact,2009,63.2,162.8,69.1,all wheel,AT,gas,143
2158,20583.0,mazda cx 7,,6.92,6400.0,5.0,4.0,108.3,18.2,,18.0,,2009,64.8,184.0,73.7,all wheel,Automatic transmission,gas,244.0
2160,20572.0,honda insight,1902.0,10.35,20463.33333333330,2.0,2.0,94.5,10.6,,53.0,two seater,2009,53.30000000000000,155.1,66.7,front wheel,MT,electric,73.0
2161,20237.0,cadillac srx,,6.3,10115.0,5.0,4.0,116.4,20.0,,17.0,,2009,67.8,194.9,72.6,all wheel,Automatic transmission,gas,255.0
2163,20117.0,mitsubishi lancer,,8.67,4885.0,5.0,4.0,103.7,15.3,93.0,23.0,compact,2009,58.7,180.0,69.4,front wheel,AT,gas,168.0
2165,19675.0,toyota 4runner,4297.916666666670,7.31,33635.0,5.0,4.0,109.80000000000000,23.0,103.10000000000000,16.75,suv,2009,70.56666666666670,189.2,75.2,rear wheel,AT,gas,260.0
2168,19042.0,nissan titan,,,32329.6,5.64,3.12,148.46800000000000,31.96,,14.0,,2009,75.62400000000000,72.0,227.0,four wheel,AT,flex fuel,317.0
2171,18488.0,mazda 5,,9.29,4498.0,,,108.3,15.9,,24.0,minivan,2009,64.2,181.5,69.1,front wheel,MT,gas,153.0
2172,18341.0,nissan pathfinder,4751.875,,33735.0,7.0,4.0,112.20000000000000,21.1,149.1,16.125,suv,2009,72.45000000000000,25.0,57.0,four wheel,MT,gas,266.0
2176,17998.0,scion tc,,7.98,4250.0,5.0,2.0,106.3,14.5,85.0,23.0,subcompact,2009,55.7,174.0,69.1,front wheel,MT,gas,161.0
2179,17941.0,chrysler pt cruiser,,9.7,5195.0,5.0,4.0,103.0,15.0,,23.0,suv,2009,63.0,168.9,67.1,front wheel,MT,gas,150.0
2180,17443.0,dodge nitro,,8.14,6140.0,5.0,4.0,108.8,19.5,,18.0,,2009,255.0,178.9,73.1,rear wheel,Automatic transmission,gas,210.0
2182,17330.0,cadillac dts,,6.93,13557.0,5.0,4.0,115.6,18.5,113.0,18.0,large,2009,57.6,207.6,74.8,front wheel,AT,gas,292.0
2184,17174.0,lincoln mks,,,,,,,,,,,2009,28.0,64.0,135.0,All-wheel drive,Automatic transmission,Gasoline,273.0
2187,16819.0,gmc yukon xl,,7.476666666666670,45910.0,8.25,4.0,130.0,35.0,,16.0,,2009,76.80000000000000,222.4,79.1,rear wheel,DCT,gas,324.0
2190,16474.0,honda ridgeline,4531.25,,32553.75,5.0,4.0,122.0,22.0,110.45,17.0,pickup truck,2009,70.75,137.0,184.0,four wheel,AT,gas,250.0
2192,16455.0,nissan xterra,,7.16,7335.0,5.0,4.0,106.3,21.1,,17.5,,2009,74.9,178.7,72.8,four wheel,Manual transmission,gas,261.0
2195,16432.0,chevrolet avalanche,,7.64,9613.0,6.0,4.0,130.0,31.0,,17.0,,2009,76.6,221.3,79.1,four wheel,Automatic transmission,flex fuel,310.0
2197,16387.0,toyota sequoia,5847.5,6.02,43368.75,7.75,4.0,122.0,26.4,126.9,16.5,suv,2009,74.60000000000000,205.1,79.9,four wheel,AT,gas,381.0
2200,15752.0,volkswagen golf rabbit,,,,,,,,,,,2009,,,,,,,
2201,8071.0,volkswagen golf,3156.5,10.07,24080.0,5.0,3.0,101.5,14.5,93.65000000000000,25.0,compact,2009,58.40000000000000,165.8,69.3,front wheel,MT,gas,200.0
2202,7681.0,volkswagen rabbit,3032.2,7.93,4075.0,5.0,2.0,101.5,14.5,94.0,24.0,compact,2009,58.2,165.8,69.3,front wheel,MT,gas,170.0
2203,15411.0,hyundai tucson,3387.428571428570,9.55,22191.42857142860,5.0,4.0,103.5,16.385714285714300,102.6,20.857142857142900,suv,2009,68.10000000000000,170.3,70.7,front wheel,DCT,gas,140.0
2206,15012.0,mercedes benz gl class,,9.7,14550.0,,,121.1,26.4,,20.0,,2009,72.4,200.6,76.4,all wheel,Automatic transmission,diesel,210.0
2208,14884.0,honda element,,9.77,6442.0,4.0,4.0,101.4,15.9,,22.0,,2009,69.5,219.0,71.6,front wheel,Automatic transmission,gas,166.0
2210,14681.0,volkswagen routan,,8.64,8400.0,7.0,4.0,121.2,20.5,,20.0,,2009,68.9,202.5,76.9,front wheel,Automatic transmission,gas,251.0
2213,14595.0,smart fortwo,1843.2,9.75,16390.0,2.0,2.0,73.5,8.7,,36.0,minicompact,2009,60.54,,61.4,rear wheel,MT,gas,70.0
2214,14499.0,scion xd,,8.72,3662.0,5.0,4.0,96.9,11.1,84.0,29.0,subcompact,2009,60.0,154.7,67.9,front wheel,MT,gas,128.0
2216,14206.0,kia rondo,,8.59,5323.0,,,106.3,15.9,108.0,22.0,midsize station wagon,2009,66.9,179.0,71.7,front wheel,AT,gas,192.0
2217,14085.0,volkswagen new beetle,,8.31,4847.0,,,98.8,14.5,85.0,23.0,subcompact,2009,59.0,161.1,67.9,front wheel,MT,gas,150.0
2218,14033.0,gmc terrain,,,,,,,,,,,2009,148.0,98.0,57.0,Front-wheel drive,Automatic transmission,Gasoline,182.0
2221,13934.0,chevrolet corvette,3226.4615384615400,3.32,64373.46153846150,2.0,2.0,105.70000000000000,18.0,,18.0,two seater,2009,,175.6,75.9,rear wheel,MT,gas,505.0
2222,13903.0,volkswagen tiguan,3433.0,,28216.25,5.0,4.0,102.5,16.8,,21.0,suv,2009,66.375,174.3,71.2,front wheel,AT,gas,200.0
2225,13790.0,audi q5,4178.0,6.71,37200.0,5.0,4.0,110.5,19.8,,20.0,suv,2009,65.1,182.2,74.0,all wheel,DCT,gas,270.0
2229,13117.0,nissan 350z 370z,,,,,,,,,,,2009,,,,,,,
2230,13115.0,saturn outlook,,7.34,8156.0,8.0,4.0,118.9,22.0,,19.0,,2009,69.9,,78.2,all wheel,,gas,281.0
2231,12655.0,jeep commander,,6.42,11527.0,7.0,4.0,109.5,21.1,112.8,15.0,,2009,128.0,188.5,74.8,four wheel,Automatic transmission,gas,357.0
2232,12362.0,pontiac g5,,7.83,4245.0,5.0,2.0,103.5,13.0,169.0,29.0,subcompact,2009,55.6,179.8,67.5,front wheel,MT,gas,155.0
2233,11941.0,toyota fj cruiser,,7.5,5830.0,5.0,4.0,105.9,19.0,,19.0,,2009,71.3,183.9,74.6,rear wheel,Automatic transmission,gas,239.0
2236,11740.0,mitsubishi galant,,9.79,5312.0,5.0,4.0,108.3,17.7,99.0,19.0,midsize,2009,58.0,191.0,72.4,front wheel,AT,gas,160.0
2239,11739.0,jeep compass,3200.0,7.86,21520.0,5.0,4.0,103.7,13.55,101.3,25.0,suv,2009,65.2,173.4,69.3,four wheel,MT,gas,172.0
2242,11375.0,lincoln town car,,,,,,,,109.0,18.0,large,2009,218.0,95.0,201.0,rear wheel,AT,gas,239.0
2244,11334.0,lexus ls,4440.2,5.59,77641.0,5.0,4.0,119.78,22.2,103.0,19.0,midsize,2009,58.14000000000000,198.0,73.8,rear wheel,AT,gas,380.0
2247,11199.0,mercedes benz s class,4797.0,5.68,131890.0,5.0,4.0,124.6,23.8,109.0,14.6,large,2009,58.0,205.0,73.7,rear wheel,AT,gas,382.0
2248,11182.0,bmw 1,,6.1,6951.0,,,104.7,14.0,,23.0,,2009,56.0,171.7,68.8,rear wheel,,gas,230.0
2249,11138.0,volkswagen passat,3512.0,8.34,29690.0,5.0,4.0,106.7,18.5,96.0,23.0,midsize,2009,59.7,188.0,71.7,front wheel,DCT,gas,200.0
2250,11024.0,infiniti fx,,,,,,,,,,,2009,115.0,251.0,135.0,Rear-wheel drive,Automatic transmission,Gasoline,303.0
2253,10757.0,volvo xc90,4515.714285714290,8.84,39226.0,6.2,4.0,112.6,21.1,101.0,16.2,suv,2009,70.20000000000000,189.3,74.7,all wheel,DCT,gas,235.0
2256,10690.0,dodge dakota,,,7538.0,4.0,2.0,131.3,22.0,,15.0,,2009,68.7,173.0,29.0,four wheel,Automatic transmission,gas,210.0
2258,10530.0,kia borrego,,6.13,9998.0,7.0,4.0,114.0,20.6,,17.5,,2009,71.3,192.1,75.4,four wheel,,gas,337.0
2259,10448.0,land rover range rover sport,5585.0,6.43,65100.0,5.0,4.0,108.0,23.3,,14.0,suv,2009,71.5,167.0,209.0,four wheel,AT,gas,390.0
2262,10283.0,mitsubishi outlander,3554.6666666666700,7.28,23746.666666666700,5.666666666666670,4.0,105.1,16.2,100.4,21.166666666666700,suv,2009,67.16666666666670,182.7,70.9,front wheel,DCT,gas,168.0
2265,10210.0,hyundai veracruz,,7.22,8998.0,7.0,4.0,110.4,20.6,,18.5,,2009,71.1,190.6,76.6,all wheel,Automatic transmission,gas,260.0
2268,10153.0,acura rdx,3929.5,6.99,35545.0,5.0,4.0,104.3,18.0,101.4,19.0,suv,2009,65.2,180.7,73.6,all wheel,AT,gas,240.0
2270,10107.0,gmc canyon,,,22081.45833333330,4.833333333333330,2.6666666666666700,123.55,19.0,,18.5,,2009,66.4625,192.8,181.0,rear wheel,DCT,gas,242.0
2272,9903.0,nissan armada,5355.0,7.65,42535.0,8.0,4.0,123.20000000000000,28.0,188.40000000000000,15.0,suv,2009,77.60000000000000,206.9,78.8,rear wheel,AT,gas,317.0
2275,9800.0,audi a5,3726.0,5.76,41350.0,4.0,2.0,108.3,16.9,84.0,20.0,subcompact,2009,54.0,182.1,73.0,all wheel,DCT,gas,265.0
2276,9638.0,pontiac torrent,,8.26,6703.0,5.0,4.0,112.5,17.0,,20.0,,2009,,188.8,71.4,all wheel,,gas,185.0
2277,9262.0,volvo xc60,,,,,,,,,,,2009,175.0,19.0,97.0,All-wheel drive,Automatic transmission,Gasoline,300.0
2280,9254.0,bmw 7,4602.0,5.57,82250.0,5.0,4.0,123.65,21.7,110.5,17.0,large,2009,58.3,199.8,74.9,rear wheel,DCT,gas,400.0
2281,8829.0,chevrolet trailblazer,,5.53,9298.0,5.0,4.0,113.0,22.0,,14.0,,2009,67.8,191.8,74.7,all wheel,,gas,390.0
2282,8587.0,hyundai tiburon,,8.31,4466.0,4.0,2.0,99.6,14.5,96.7,20.5,subcompact,2009,52.4,173.0,69.3,front wheel,AT,gas,172.0
2283,8501.0,infiniti m,,,,,,,,,,,2009,228.0,66.0,13.0,Rear-wheel drive,Automatic transmission,Gasoline,303.0
2287,8487.0,jaguar xf,4076.0,5.52,56033.333333333300,5.0,4.0,114.5,18.4,95.0,19.0,midsize,2009,57.5,195.3,73.9,rear wheel,AT,gas,300.0
2290,8437.0,nissan quest,,8.71,7637.0,7.0,4.0,124.0,20.0,,19.0,minivan,2009,,148.7,,front wheel,AT,gas,235.0
2291,8331.0,volvo s80,,6.32,10512.0,5.0,4.0,111.6,18.5,,18.0,,2009,58.8,191.0,73.3,all wheel,Automatic transmission,gas,281.0
2294,8228.0,land rover range rover,5555.5,6.43,85500.0,5.0,4.0,113.3,27.6,,14.0,suv,2009,75.0,195.8,77.0,four wheel,MT,gas,400.0
2297,8057.0,lincoln navigator,5926.5,,54570.0,7.0,4.0,119.0,28.0,159.6,16.0,suv,2009,78.3,39.0,191.0,rear wheel,AT,flex fuel,310.0
2300,7957.0,volvo s40,,9.01,7137.0,5.0,4.0,103.9,15.9,,24.0,,2009,57.2,176.2,69.7,front wheel,Manual transmission,gas,168.0
2302,7950.0,infiniti ex35,,,,,,,,92.0,19.0,small station wagon,2009,,,,rear wheel,AT,gas,
2303,7917.0,mazda mx 5 miata,2546.75,6.26,26011.666666666700,2.0,2.0,91.70000000000010,12.7,,24.5,two seater,2009,220.0,157.3,67.7,rear wheel,AT,gas,167.0
2306,7735.0,porsche cayenne,5009.0,7.04,73957.14285714290,5.0,4.0,112.4,26.4,,16.0,suv,2009,66.90000000000000,188.9,75.9,all wheel,DCT,gas,290.0
2308,7557.0,suzuki grand vitara,,7.22,5924.0,5.0,4.0,103.9,17.4,,22.0,suv,2009,66.7,177.1,71.3,rear wheel,MT,gas,230.0
2310,7533.0,hummer h3,,7.4,8347.0,5.0,4.0,111.9,23.0,,16.0,,2009,73.2,187.5,74.6,four wheel,,gas,242.0
2311,7430.0,lexus gs,,5.98,11250.0,,,112.2,18.8,121.8,22.5,,2009,56.1,190.0,71.7,rear wheel,Automatic transmission,gas,303.0
2313,7299.0,audi q7,5324.375,6.76,49515.0,6.75,4.0,118.20000000000000,26.4,,15.0,suv,2009,68.40000000000000,200.2,78.1,all wheel,DCT,gas,350.0
2317,7204.0,volkswagen eos,,7.75,7903.0,4.0,2.0,101.5,14.5,77.0,25.0,subcompact,2009,56.8,173.5,70.5,front wheel,MT,gas,200.0
2318,7150.0,mercedes benz clk,3585,4.6,58675,4,2,106.9,16.4,85.2,17,subcompact,2009,57,183,69,rear wheel,AT,gas,274
2319,6839.0,porsche 911,3291.4166666666700,3.55,98583.33333333330,4.0,2.0,92.5,17.033333333333300,,19.5,minicompact,2009,51.366666666666700,176.3,72.9,all wheel,MT,gas,480.0
2320,6786.0,audi a6,4073.0,6.14,51264.444444444400,5.0,4.0,111.9,21.1,,21.0,midsize,2009,57.46666666666670,193.5,73.0,all wheel,DCT,gas,300.0
2321,6699.0,lexus hs250h,,,,,,,,,,,2009,,,,,,,
2322,6672.0,mitsubishi eclipse,,9.52,5312.0,4.0,2.0,101.4,17.7,82.0,19.0,subcompact,2009,53.5,180.4,72.2,front wheel,MT,gas,162.0
2323,6440.0,infiniti qx56,,,,,,,,,,,2009,184.0,135.0,209.0,Rear-wheel drive,Automatic transmission,Gasoline,320.0
2326,6298.0,saturn astra,,8.93,3659.0,,,102.9,12.0,104.6,28.0,,2009,57.4,170.5,69.0,front wheel,,gas,138.0
2327,6256.0,mercury sable,,6.54,6742.0,5.0,4.0,112.9,20.0,108.0,19.0,midsize,2009,,202.1,74.5,all wheel,AT,gas,263.0
2328,6235.0,lexus gx,4871.0,7.68,47615.0,5.0,4.0,109.8,23.0,103.9,15.0,suv,2009,74.6,188.2,74.0,four wheel,AT,gas,263.0
2329,6223.0,pontiac g3,,9.82,3583.0,5.0,4.0,97.6,12.0,,30.0,,2009,59.3,155.0,66.1,front wheel,,gas,106.0
2330,6106.0,ford taurus x,,7.53,8081.0,6.0,4.0,112.9,19.0,,19.0,,2009,67.6,200.3,74.9,front wheel,,gas,263.0
2331,6067.0,bmw x3,4012.0,6.24,39700.0,5.0,4.0,110.1,17.7,90.1,19.0,suv,2009,65.9,179.9,73.0,all wheel,MT,gas,260.0
2333,6037.0,cadillac sts,,6.2,9192.0,5.0,4.0,116.4,17.0,102.0,18.0,midsize,2009,57.6,196.7,72.6,rear wheel,AT,gas,302.0
2335,5996.0,chrysler aspen,,7.09,9278.0,8.0,4.0,119.2,27.0,,16.0,,2009,,200.8,76.0,all wheel,,gas,303.0
2336,5930.0,subaru tribeca,,6.92,7823.0,5.0,4.0,108.2,16.9,,18.5,,2009,66.4,191.5,73.9,all wheel,,gas,256.0
2337,5895.0,volvo s60,3558.333333333330,8.11,33500.0,5.0,4.0,107.0,18.0,92.0,21.8,compact,2009,56.2,181.2,71.0,front wheel,DCT,gas,208.0
2339,5825.0,volvo xc70,,7.33,8225.0,5.0,4.0,110.0,18.5,,19.0,,2009,63.0,190.5,73.3,all wheel,Automatic transmission,gas,235.0
2342,5642.0,pontiac solstice,,6.98,6556.0,2.0,2.0,95.1,13.0,,21.0,two seater,2009,50.9,157.2,71.3,rear wheel,AT,gas,173.0
2343,5525.0,mazda tribute,,6.5,6487.0,5.0,4.0,103.1,16.5,,20.5,,2009,67.9,174.9,71.1,all wheel,Manual transmission,gas,240.0
2345,5428.0,saab 9 3,,6.99,7590.0,5.0,4.0,105.3,16.4,108.4,23.0,,2009,57.1,182.9,69.0,front wheel,,gas,210.0
2346,5170.0,volvo c70,,7.77,9950.0,4.0,2.0,103.9,16.4,,21.0,,2009,55.1,180.4,72.3,front wheel,Automatic transmission,gas,227.0
2349,5169.0,mercury mountaineer,4782,8.3,37180,7,4,113.7,22.5,85.8,15,suv,2009,71.9,193.5,73.7,all wheel,AT,gas,210
2350,4857.0,gmc envoy,,6.88,8370.0,5.0,4.0,113.0,22.0,,16.0,,2009,71.9,,,rear wheel,,gas,285.0
2351,4787.0,bmw x6,5081.5,6.98,61275.0,4.0,4.0,115.5,22.5,,16.0,suv,2009,66.5,192.1,78.1,all wheel,DCT,gas,300.0
2353,4433.0,land rover lr2,,7.67,8843.0,5.0,4.0,104.7,18.5,,17.0,suv,2009,68.5,146.0,212.0,all wheel,AT,gas,230.0
2355,4392.0,volkswagen touareg,,7.57,9825.0,5.0,4.0,112.4,26.4,,15.0,suv,2009,68.0,187.2,75.9,four wheel,AT,gas,280.0
2357,4357.0,suzuki xl7,,7.77,6857.0,7.0,4.0,112.4,18.6,,20.5,,2009,68.9,197.2,72.2,front wheel,,gas,252.0
2358,4267.0,volvo c30,,6.58,5950.0,4.0,2.0,103.9,15.9,102.1,23.5,,2009,57.0,167.4,70.2,front wheel,Manual transmission,gas,227.0
2361,4025.0,mercedes benz sl class,4369.8,5.44,173260.0,2.0,2.0,100.8,21.1,,15.0,two seater,2009,51.1,178.5,71.5,rear wheel,DCT,gas,382.0
2362,3874.0,audi a3,3312.5625,7.27,28774.6875,5.0,4.0,101.5,14.5,89.0,24.0,small station wagon,2009,56.0,166.9,78.5,front wheel,DCT,gas,200.0
2366,3808.0,hyundai azera,,6.48,7230.0,5.0,4.0,109.4,19.8,107.0,20.0,large,2009,58.7,192.7,72.8,front wheel,AT,gas,263.0
2368,3769.0,suzuki forenza reno,,,,,,,,,,,2009,,,,,,,
2369,3704.0,kia amanti,,7.14,6511.0,5.0,4.0,110.2,18.5,106.0,19.0,large,2009,58.5,196.9,72.8,front wheel,AT,gas,264.0
2370,3616.0,lexus lx,5995.0,6.77,75855.0,8.0,4.0,112.2,24.6,143.4,14.0,suv,2009,75.6,196.5,77.6,four wheel,DCT,gas,383.0
2372,3549.0,bmw 6,4045.5,3.69,81750.0,4.0,2.0,109.4,18.5,81.5,17.0,subcompact,2009,54.1,191.8,73.0,rear wheel,MT,gas,500.0
2373,3523.0,bmw z4,3345.5,5.22,48700.0,2.0,2.0,98.3,14.5,,21.0,two seater,2009,50.8,166.9,70.5,rear wheel,MT,gas,300.0
2374,3521.0,dodge durango,4849.142857142860,7.19,35391.42857142860,6.428571428571430,4.0,119.20000000000000,27.0,108.6,15.857142857142900,suv,2009,74.3,200.8,133.0,four wheel,AT,gas,303.0
2376,3433.0,hyundai entourage,,8.12,5038.0,7.0,4.0,118.9,21.1,,18.0,minivan,2009,71.5,202.0,78.1,front wheel,AT,gas,250.0
2377,3399.0,saturn sky,,6.99,7547.0,2.0,2.0,95.1,13.0,,21.0,two seater,2009,50.1,161.1,71.4,rear wheel,AT,gas,173.0
2378,3228.0,mitsubishi endeavor,,8.35,6110.0,5.0,4.0,108.3,21.4,106.7,18.5,,2009,70.2,190.8,73.6,front wheel,Automatic transmission,gas,225.0
2380,3197.0,land rover lr3,,7.93,11493.0,5.0,4.0,113.6,22.8,,14.0,suv,2009,74.5,,,all wheel,AT,gas,300.0
2381,2825.0,mercedes benz r class,,7.65,11912.0,,,126.6,21.1,177.3,17.0,,2009,65.2,203.0,75.7,all wheel,Automatic transmission,gas,268.0
2383,2580.0,lincoln mkt,,,,,,,,,,,2009,175.0,153.0,138.0,All-wheel drive,Automatic transmission,Gasoline,355.0
2386,2566.0,mercedes benz slk,3241,5.2,59200,2,2,95.7,18.5,48.8,24,two seater,2009,51.2,162.2,71.5,rear wheel,AT,gas,302
2387,2527.0,mercedes benz cls class,4115.0,5.25,83500.0,4.0,4.0,112.4,21.1,104.3,15.0,compact,2009,54.7,193.0,73.7,rear wheel,DCT,gas,382.0
2389,2274.0,jaguar xk,,4.13,21850.0,4.0,2.0,108.3,18.8,74.0,19.0,minicompact,2009,52.0,188.6,81.5,rear wheel,AT,gas,420.0
2390,2261.0,toyota land cruiser,5690.0,6.54,64755.0,8.0,4.0,112.2,25.4,,15.0,suv,2009,74.0,194.9,77.6,four wheel,DCT,gas,381.0
2392,2221.0,suzuki equator,,7.12,5723.0,4.0,2.0,125.9,21.1,,17.5,,2009,69.7,206.6,57.0,rear wheel,Automatic transmission,gas,261.0
2394,2218.0,saab 9 7x,,5.58,12276.0,5.0,4.0,113.0,22.0,,13.0,,2009,,,,all wheel,,gas,390.0
2395,2217.0,mazda rx 8,,5.79,7982.0,4.0,2.0,106.4,16.9,89.0,18.0,subcompact,2009,52.8,175.6,69.7,rear wheel,MT,gas,232.0
2397,2155.0,volvo v50,,9.11,7450.0,5.0,4.0,103.9,15.9,,23.0,,2009,57.4,169.0,69.7,front wheel,Automatic transmission,gas,168.0
2399,2043.0,acura rl,,6.1,10479.0,5.0,4.0,110.2,19.4,99.0,18.0,midsize,2009,57.2,195.8,72.7,all wheel,AT,gas,300.0
2402,1966.0,porsche cayman,,4.45,10374.0,2.0,2.0,95.1,16.9,,24.0,two seater,2009,51.4,172.3,70.9,rear wheel,AT,gas,320.0
2404,1955.0,chrysler pacifica,4516.333333333330,8.26,30130.0,5.666666666666670,4.0,116.3,23.0,143.50000000000000,19.0,large,2009,68.3,198.5,79.3,front wheel,AT,gas,253.0
2405,1944.0,mitsubishi raider,,7.95,5283.0,5.0,2.0,131.3,22.0,,18.0,,2009,68.6,219.9,71.7,rear wheel,,gas,210.0
2406,1935.0,audi tt,3238.5,5.38,40072.0,3.0,2.0,97.20000000000010,14.5,,22.85,two seater,2009,53.5,164.5,72.5,all wheel,DCT,gas,200.0
2407,1909.0,porsche boxster,,4.56,6570.0,,,95.1,16.9,,24.0,two seater,2009,50.9,172.1,70.9,rear wheel,AT,gas,310.0
2409,1816.0,volvo v70,,7.41,8225.0,5.0,4.0,110.8,18.5,,20.0,,2009,60.6,189.9,73.3,front wheel,Automatic transmission,gas,235.0
2410,1758.0,chevrolet uplander,,8.17,5092.0,7.0,4.0,113.0,20.0,,19.5,,2009,70.5,191.0,72.0,front wheel,,gas,240.0
2411,1534.0,nissan gt r,3821.5,3.59,77965.0,4.0,2.0,109.5,19.5,88.0,18.0,subcompact,2009,54.0,183.3,74.6,all wheel,DCT,gas,480.0
2412,1513.0,hummer h2,,,15772.0,5.0,4.0,122.8,32.0,,,,2009,79.2,,67.6,four wheel,,gas,393.0
2413,1463.0,audi a8,,5.75,18512.0,,,115.9,23.8,100.0,18.0,midsize,2009,56.9,199.3,74.6,all wheel,AT,gas,350.0
2416,1247.0,porsche panamera,,,,,,,,,,,2009,,,,,,,
2417,1220.0,mercedes benz cl class,,5.6,26975.0,,,116.3,23.8,105.0,17.5,,2009,55.7,199.4,73.7,all wheel,Automatic transmission,gas,382.0
2419,1161.0,jaguar xj,3902.1666666666700,5.99,82141.66666666670,5.0,4.0,122.73333333333300,22.5,105.0,19.0,large,2009,57.2,200.4,76.5,rear wheel,AT,gas,300.0
2422,1034.0,saab 9 5,,6.89,10101.0,5.0,4.0,106.4,18.0,112.1,22.0,midsize,2009,57.2,190.4,70.5,front wheel,AT,gas,260.0
2423,795.0,honda s2000,,5.35,9248.0,2.0,2.0,94.5,13.2,,21.0,two seater,2009,50.7,162.1,68.9,rear wheel,MT,gas,237.0
2424,787.0,cadillac xlr,,5.57,21553.0,2.0,2.0,105.7,18.0,,18.0,two seater,2009,50.4,177.7,72.3,rear wheel,AT,gas,320.0
2425,720.0,lexus sc430,3840,5/7,69280,4,2,103.1,19.8,75,19,subcompact,2009,53,179,72,rear wheel,AT,gas,288
2426,699.0,audi r8,,3.8,28550.0,2.0,2.0,104.3,23.8,,15.0,two seater,2009,,174.5,75.0,all wheel,MT,gas,420.0
2427,662.0,mercedes benz g class,5627.5,6.37,109850.0,5.0,4.0,112.2,25.4,124.0,12.0,suv,2009,77.8,184.5,71.8,four wheel,AT,gas,382.0
2429,573.0,mazda b,,,,,,,,,,,2009,,,,,,,
2430,499.0,chrysler crossfire,,6.13,7294.0,,,94.5,15.9,,19.0,,2009,51.5,159.8,69.5,rear wheel,,gas,215.0
2431,482.0,dodge viper,,3.1,22376.0,,,98.8,16.0,,17.5,,2009,,175.7,75.2,rear wheel,,gas,600.0
2432,265.0,pontiac grand prix,,8.27,4664.0,5.0,4.0,110.5,17.0,114.0,23.0,midsize,2009,55.9,198.3,71.6,front wheel,AT,gas,200.0
2433,147.0,lincoln mark lt,,,,,,,,,14.0,pickup truck,2009,,,,rear wheel,AT,gas,
2434,113.0,dodge magnum,,8.99,4918.0,5.0,4.0,120.0,18.0,133.1,22.0,suv,2009,58.3,197.7,74.1,rear wheel,AT,gas,178.0
2435,528349.0,ford f,,8.8,33220.93220338980,5.11864406779661,2.8813559322033900,147.3983050847460,30.406779661016900,,15.966101694915300,,2010,74.94406779661020,,,rear wheel,DCT,gas,299.5
2436,370135.0,chevrolet silverado,,,30806.93548387100,5.032258064516130,2.5806451612903200,141.69354838709700,28.580645161290300,,16.161290322580600,,2010,73.71612903225810,,80.0,rear wheel,DCT,flex fuel,315.0
2437,327804.0,toyota camry,3389.909090909090,9.18,23585.90909090910,5.0,4.0,109.30000000000000,18.38181818181820,101.0,26.0,midsize,2010,57.809090909090900,189.2,71.7,front wheel,AT,gas,169.0
2440,311381.0,honda accord,,6.7,7142.0,,,110.2,18.5,106.0,25.0,large,2010,58.1,194.3,72.7,front wheel,AT,gas,271.0
2441,266082.0,toyota corolla,2806.875,9.63,17410.0,5.0,4.0,102.4,13.2,92.0,29.0,compact,2010,57.7,178.7,69.3,front wheel,AT,gas,132.0
2443,260218.0,honda civic,2790.619047619050,6.89,20511.42857142860,5.0,4.0,106.30000000000000,12.942857142857100,175.0,29.0,compact,2010,56.5,177.3,69.0,front wheel,AT,gas,197.0
2444,229263.0,nissan altima,3235.333333333330,8.44,24347.777777777800,5.0,3.111111111111110,107.5222222222220,20.0,101.0,27.0,midsize,2010,56.777777777777800,180.9,70.7,front wheel,MT,gas,175.0
2445,219219.0,ford fusion,3481.1666666666700,6.03,24758.33333333330,5.0,4.0,107.4,17.166666666666700,100.3,22.83333333333330,midsize,2010,56.9,190.6,80.1,front wheel,AT,gas,265.0
2448,203714.0,honda cr v,3475.5,8.06,25720.0,5.0,4.0,103.1,15.3,101.625,23.5,suv,2010,66.10000000000000,177.9,71.6,four wheel,AT,gas,180.0
2450,199652.0,dodge ram,,,11320.0,6.0,4.0,140.5,26.0,,17.0,,2010,75.1,,51.0,rear wheel,,gas,390.0
2451,198770.0,chevrolet malibu,3484.0,9.73,24167.5,5.0,4.0,112.3,16.3,95.0,22.0,midsize,2010,57.1,191.8,70.3,front wheel,DCT,gas,169.0
