,Unnamed: 0,Total_Sales,Year,cleaned_name,curb_weight_lbs,body_style,engine_type,speed_sec,horsepower_hp,length_in,width_in,msrp,pass_capacity,doors,wheelbase_in,height_in,tank_cap_gal,vol_cubft,mpg_comb,drivetrain,fuel_typ,trans,class_EPA,engine,fuel
1968,3013,3847.0,2011,saab 9 3,,,,7.51,210.0,183.9,70.9,12586.0,5.0,4.0,105.3,57.1,16.0,108.4,24.0,front wheel,Gas,,,,regular
1969,3014,3746.0,2011,lexus gs,,,,5.85,338.0,192.1,72.4,13224.0,,,112.2,57.3,17.4,111.0,31.5,rear wheel,Hybrid,,,,hybrid
1970,3015,3479.0,2011,bmw zfour ,3413.33333333333,Convertible,Turbocharged Gas I6,5.27,335.0,167.0,70.5,54433.3333333333,2.0,2.0,98.3,50.8,14.5,47.6,20.6666666666667,rear wheel,"Turbocharged Gas I6, 3.0L",6-speed manual transmission,Two-Seater,Electronic Fuel Injection,regular
1971,3016,3471.0,2011,volvo c30,,,,6.58,227.0,167.9,70.2,8398.0,4.0,2.0,103.9,57.0,15.9,104.0,25.0,front wheel,Gas,,,,regular
1972,3017,3338.0,2011,cadillac sts,,,,6.2,302.0,196.7,72.6,16075.0,5.0,4.0,116.4,57.6,17.0,102.0,21.0,rear wheel,Regular,Automatic (S6),Midsize Cars,SIDI,regular
1973,3018,3220.0,2011,mercedes benz slk,,,,,,,,,,,,,,,,,,,,,
1974,3019,3193.0,2011,hyundai equus,,,,,378.0,203.1,74.4,19720.0,5.0,4.0,119.9,58.7,20.3,110.0,18.0,rear wheel,Premium,Automatic 6-spd,Large Cars,,premium
1975,3020,3167.0,2011,lexus lx570,,,,,,,,,,,,,,,,,,,,,
1976,3021,2984.0,2011,volvo sfour 0,,,,7.34,227.0,176.2,69.7,9435.0,5.0,4.0,103.9,57.2,15.9,,25.5,front wheel,Gas,,,,regular
1977,3022,2864.0,2011,lexus hstwo50h,,,,,,,,,,,,,,,,,,,,,
1978,3023,2791.0,2011,subaru tribeca,,,,6.92,256.0,191.5,73.9,11048.0,7.0,4.0,108.1,66.7,16.9,,18.0,all wheel,Gas,,,,regular
1979,3024,2777.0,2011,land rover lrtwo,,,,7.67,230.0,36.0,39.5,12138.0,5.0,4.0,104.7,68.5,18.5,0.0,18.0,all wheel,Regular,Automatic (S6),Sport Utility Vehicle - four WD,,regular
1980,3025,2696.0,2011,mazda tribute,,,,6.5,240.0,35.0,40.7,9882.0,5.0,4.0,103.1,70.2,17.5,,20.0,four wheel,Gas,,,,regular
1981,3026,2385.0,2011,mercedes benz r class,,,,7.66,268.0,203.0,77.1,17081.0,,,126.6,65.4,21.1,161.7,17.0,all wheel,Gas,,,,regular
1982,3027,2244.0,2011,land rover range rover evoque,,,,,,,,,,,,,,,,,,,,,
1983,3028,2236.0,2011,audi tt,3230.0,Convertible,Turbo Gas Ifour ,5.38,211.0,164.5,72.5,39800.0,3.0,2.0,97.2,53.35,15.9,60.8,24.0,all wheel,"Turbo Gas Ifour , two.0L",6-speed dual-clutch S tronic automatic transmission,Two seater,TFSI,regular
1984,3029,2127.0,2011,suzuki equator,,,,7.3,152.0,220.1,44.4,5982.0,5.0,2.0,125.9,68.7,21.1,,21.0,rear wheel,Gas,,,,regular
1985,3030,1773.0,2011,porsche boxster,,,,4.27,320.0,172.1,70.9,21012.0,2.0,2.0,95.1,50.9,14.3,0.0,22.0,rear wheel,Premium,Manual 6-spd,Two Seaters,,premium
1986,3032,1738.0,2011,jaguar xk,,,,3.6,510.0,188.7,74.5,32682.0,4.0,2.0,108.3,52.0,16.1,74.0,19.0,rear wheel,Premium,Automatic (S6),Minicompact Cars,SIDI,premium
