,Unnamed: 0,Total_Sales,Year,cleaned_name,curb_weight_lbs,body_style,engine_type,speed_sec,horsepower_hp,length_in,width_in,msrp,pass_capacity,doors,wheelbase_in,height_in,tank_cap_gal,vol_cubft,mpg_comb,drivetrain,fuel_typ,trans,class_EPA,engine,fuel
542,866,859.0,2006,lincoln mkx,,,,,,,,,,,,,,,,,,,,,
543,867,853.0,2006,pontiac sunfire,,,,8.49,140.0,,,1634.0,,,,,14.0,,31.0,front wheel,,,,,
544,868,828.0,2006,pontiac grand am,,,,8.53,175.0,186.3,70.4,3562.0,5.0,2.0,107.0,55.1,14.0,,24.5,front wheel,Gas,,,,regular
545,869,807.0,2006,cadillac deville,,,,7.02,290.0,207.2,74.5,7740.0,5.0,4.0,115.3,56.7,18.0,,20.5,front wheel,Gas,,,,regular
546,870,722.0,2006,honda insight,1902.0,twodr Car,Gas/Electric I3,10.35,73.0,155.1,66.7,20463.3333333333,2.0,2.0,94.5,53.3,10.6,0.0,47.0,front wheel,Regular,5-speed manual transmission w/OD,Two Seater,MPFI,regular
547,872,594.0,2006,kia rondo,,,,,,,,,,,,,,,,,,,,,
548,873,587.0,2006,mercedes benz g class,5567.5,Sport Utility,Gas V8,7.83,292.0,185.6,71.3,92700.0,5.0,4.0,112.2,77.8,25.0,124.0,12.0,four wheel,"Gas V8, 5.four L","5-speed automatic r-adaptive transmission-inc: Touch Shift, optimum gear programming",four WD Sport Utility Vehicle,SMPI,regular
549,874,480.0,2006,gmc acadia,,,,,,,,,,,,,,,,,,,,,
550,875,469.0,2006,ford thunderbird,,,,6.32,280.0,186.3,72.0,5912.0,2.0,2.0,107.2,30.2,18.0,,21.0,rear wheel,Gas,,,,regular
551,876,393.0,2006,infiniti qfour 5,,,,,,,,,,,,,,102.0,18.0,rear wheel,Premium,Automatic (S5),Midsize Cars,,premium
552,877,388.0,2006,pontiac montana,,,,9.22,196.0,205.6,72.0,4440.0,7.0,4.0,121.1,72.0,25.0,,20.0,all wheel,Gas,,,,regular
553,878,386.0,2006,chevrolet astro,,,,9.38,190.0,,,,,,,,27.0,,15.5,all wheel,,,,,
554,879,365.0,2006,hummer h1,,,,,300.0,44.0,86.5,22363.0,4.0,4.0,130.0,77.0,28.5,,,four wheel,Gas,,,,regular
555,880,355.0,2006,chevrolet cavalier,,,,8.27,140.0,180.9,67.9,2191.0,5.0,4.0,104.1,26.2,14.0,,31.0,front wheel,Gas,,,,regular
556,881,347.0,2006,pontiac aztek,,,,8.7,185.0,182.1,73.7,3666.0,5.0,4.0,108.3,66.7,18.0,,21.0,all wheel,Gas,,,,regular
557,882,235.0,2006,volkswagen phaeton,,,,6.72,335.0,203.7,74.9,10672.0,,,118.1,57.1,23.8,108.0,16.0,all wheel,Premium,Automatic (S6),Large Cars,,premium
558,884,196.0,2006,chevrolet venture,,,,9.45,185.0,62.4,48.3,3504.0,7.0,4.0,120.0,22.8,25.0,,22.5,front wheel,Gas,,,,regular
559,885,144.0,2006,saturn outlook,,,,,,,,,,,,,,,,,,,,,
560,886,141.0,2006,mercedes benz slr mclaren,,,,3.04,617.0,183.3,75.1,72000.0,2.0,2.0,106.3,49.6,25.8,,15.0,rear wheel,Gas,,,,regular
561,887,129.0,2006,isuzu rodeo,,,,,,,,,,,,,,,,,,,,,
562,888,124.0,2006,isuzu axiom,,,,,,,,,,,,,,,,,,,,,
563,889,114.0,2006,chevrolet blazer,,,,,190.0,28.5,38.7,3645.0,4.0,2.0,100.5,64.7,19.0,,17.0,four wheel,Gas,,,,regular
591,917,24149.0,2006,mercury sable,,,,9.77,153.0,199.8,73.0,3219.0,6.0,4.0,108.5,55.5,18.0,,23.5,front wheel,Gas,,,,regular
592,918,780.0,2006,toyota mrtwo spyder,,,,6.7,138.0,153.0,66.7,3921.0,2.0,2.0,96.5,48.8,12.7,,29.5,rear wheel,Gas,,,,regular
593,919,298.0,2006,dodge intrepid,,,,,,,,,,,,,,,,,,,,,
594,920,210.0,2006,chrysler concorde,,,,,,,,,,,,,,,,,,,,,
595,921,160.0,2006,mitsubishi diamante,,,,,,,,,,,,,,,,,,,,,
601,927,690589.0,2007,ford f,,Extended Cab Pickup - Short Bed,Gas V8,7.78,300.0,248.4,78.9,29508.203125,5.09375,2.65625,140.78125,74.828125,27.428125,,14.0,four wheel,"Gas V8, four .6L",four -speed automatic transmission w/OD,,EFI,regular
602,928,618257.0,2007,chevrolet silverado,,Crew Cab Pickup - Short Bed,Gas V8,,334.0,258.5,50.6,28284.2857142857,5.047619047619049,2.47619047619048,141.004761904762,73.7071428571429,28.2857142857143,,18.0,rear wheel,"Gas V8, 5.3L","Transmission, four -speed automatic, electronically controlled with over and tow/haul mode",,SFI,regular
603,929,473108.0,2007,toyota camry,3386.0,four dr Car,Gas Ifour ,8.76,158.0,189.2,71.7,22695.0,5.0,4.0,109.3,57.8090909090909,18.3727272727273,101.0,24.0,front wheel,Regular,5-speed ECT-i automatic transmission w/OD,Mid-Size,MPFI,regular
604,932,392231.0,2007,honda accord,,,,7.03,244.0,191.1,71.6,3766.0,,,107.9,57.3,17.1,194.0,25.0,front wheel,Regular,Automatic 5-spd,Midsize Cars,,regular
605,936,371390.0,2007,toyota corolla,2575.83333333333,four dr Car,Gas Ifour ,8.58,126.0,178.3,66.9,15456.6666666667,5.0,4.0,102.4,58.5,13.2,89.0,29.0,front wheel,Regular,5-speed manual transmission w/OD,Compact,SFI,regular
606,938,358295.0,2007,dodge ram,,,,,330.0,,51.0,6788.0,6.0,4.0,160.5,75.0,34.0,,17.0,rear wheel,Gas,,,,regular
607,939,331095.0,2007,honda civic,2749.77777777778,four dr Car,Gas Ifour ,8.23,140.0,174.8,68.9,18896.6666666667,5.0,4.0,106.3,56.5,12.6222222222222,175.0,29.0,front wheel,Regular,5-speed automatic transmission w/OD,Compact,MPFI,regular
608,942,311128.0,2007,chevrolet impala,3623.8,four dr Car,Gas/Ethanol V6,6.36,303.0,200.4,72.9,24292.0,5.0,4.0,110.5,58.7,17.0,105.0,22.0,front wheel,Regular,"Transmission, four -speed automatic electronically controlled with over",Large,SFI,regular
609,946,284762.0,2007,nissan altima,3199.8,four dr Car,Gas Ifour ,6.26,270.0,189.8,70.7,21799.0,5.0,4.0,109.3,57.92,20.0,101.0,26.0,front wheel,Regular,6-speed manual transmission w/OD,Compact,SMPI,regular
610,950,219160.0,2007,honda cr v,3475.125,Sport Utility,Gas Ifour ,9.39,166.0,177.9,71.6,24362.5,5.0,4.0,103.1,66.1,15.3,101.625,23.5,four wheel,"Gas Ifour , two.four L",5-speed automatic transmission w/OD,four WD Sport Utility,MPFI,regular
611,951,208243.0,2007,gmc sierra,,Extended Cab Pickup - Short Bed,Gas V8,6.82,334.0,218.0,50.6,28457.9761904762,5.047619047619049,2.47619047619048,141.004761904762,73.7071428571429,27.9047619047619,,18.0,rear wheel,"Gas V8, 5.3L","Transmission, four -speed automatic, electronically controlled with over and tow/haul mode",,SFI,regular
612,952,200620.0,2007,chevrolet cobalt,,,,9.78,148.0,180.3,67.9,3330.0,5.0,4.0,103.3,57.1,13.0,169.0,24.0,front wheel,Premium,Automatic four -spd,Subcompact Cars,,premium
613,957,196555.0,2007,toyota tundra,,Crew Cab Pickup - Standard Bed,Gas V8,,381.0,,48.0,30691.7441860465,5.30232558139535,3.53488372093023,147.018604651163,76.1488372093023,26.4,,17.0,rear wheel,"Gas V8, four .7L",5-speed automatic electronically controlled transmission w/OD,,EFI,regular
614,958,181221.0,2007,toyota prius,2932.0,four dr Car,Gas/Electric Ifour ,11.4,110.0,175.0,67.9,22622.5,5.0,4.0,106.3,58.7,11.9,96.0,46.0,front wheel,Regular,Automatic (variable gear ratios),Mid-size,SFI,regular
615,959,176150.0,2007,dodge caravan grand caravan,,,,,,,,,,,,,,,,,,,,,
616,960,173238.0,2007,toyota tacoma,,Extended Cab Pickup - Short Bed,Gas V6,,159.0,190.4,72.2,20836.5,4.15,2.7,125.965,68.055,21.0,,22.0,rear wheel,"Gas V6, four .0L",5-speed automatic transmission w/OD,,EFI,regular
617,961,173213.0,2007,ford focus,2703.0,four dr Car,Gas Ifour ,8.3,136.0,168.5,66.7,15755.4166666667,5.0,3.5,102.9,57.3333333333333,14.0,188.0,26.0,front wheel,Regular,5-speed manual transmission,Compact,SMPI,regular
618,964,173046.0,2007,honda odyssey,4548.28571428572,"Mini-van, Passenger",Gas V6,8.9,244.0,201.0,77.1,32716.4285714286,7.57142857142857,4.0,118.1,69.8285714285714,21.0,0.0,18.0,front wheel,Regular,5-speed automatic transmission,twoWD Minivan,MPFI,regular
619,966,172752.0,2007,toyota ravfour ,3512.0,Sport Utility,Gas Ifour ,6.73,269.0,181.1,73.0,23904.1666666667,5.0,4.0,104.7,67.1,15.9,108.2,25.5,four wheel,"Gas Ifour , two.four L",5-speed ECT automatic transmission,twoWD Sport Utility Vehicle,SFI,regular
620,967,165596.0,2007,ford escape,3400.5,Sport Utility,Gas Ifour ,7.95,200.0,35.9,40.8,23580.0,5.0,4.0,103.1,69.8,16.2857142857143,99.2,22.0,four wheel,"Gas Ifour , two.3L",four -speed automatic transmission w/OD,twoWD Sport Utility Vehicles,SEFI,regular
621,968,150001.0,2007,pontiac g6,,,,7.83,217.0,189.1,70.6,5175.0,4.0,2.0,112.3,56.7,16.0,182.0,24.0,front wheel,Regular,Automatic four -spd,Compact Cars,,regular
622,973,149552.0,2007,ford fusion,3209.0,four dr Car,Gas V6,8.46,160.0,190.2,72.2,20778.5714285714,5.0,4.0,107.4,57.2,17.5,100.0,23.0,front wheel,Regular,6-speed automatic transmission,Mid-Size Sedan,SMPI,regular
623,976,146256.0,2007,chevrolet tahoe,,Sport Utility,Gas V8,7.74,295.0,49.4,49.1,36725.0,6.0,4.0,116.0,76.9,26.0,,17.5,rear wheel,"Gas/Ethanol V8, 5.3L","Transmission, four -speed automatic, electronically controlled with over and tow/haul mode",,SFI,gas/ethanol
624,977,145568.0,2007,hyundai sonata,3358.75,four dr Car,Gas Ifour ,8.58,162.0,188.9,72.1,20032.5,5.0,4.0,107.4,58.0,17.7,105.0,24.0,front wheel,Regular,5-speed Shiftronic automatic transmission w/OD,Large,MPI,regular
625,980,142490.0,2007,bmw 3,3566.94117647059,four dr Car,Gas I6,6.22,230.0,178.2,71.5,37464.70588235289,4.52941176470588,3.05882352941176,108.7,55.2058823529412,16.0411764705882,90.0764705882353,23.0,rear wheel,"Gas I6, 3.0L",6-speed manual transmission w/OD,Sub-Compact,MPI,regular
626,981,138162.0,2007,toyota sienna,4299.22222222222,"Mini-van, Passenger",Gas V6,7.67,266.0,201.0,77.4,29538.8888888889,7.22222222222222,4.0,119.3,68.9,20.0,177.2,22.5,front wheel,"Gas V6, 3.5L",5-speed automatic transmission w/OD & intelligence (ECT-i),twoWD Minivans,SEFI,regular
627,982,138151.0,2007,chrysler town country,,,,,,,,,,,,,,,,,,,,,
628,983,137817.0,2007,ford explorer,,Sport Utility,Gas V8,,292.0,41.4,44.9,30300.0,5.66666666666667,4.0,113.7,72.8,22.5,,17.0,rear wheel,"Gas V8, four .6L",5-speed automatic transmission w/OD,,SMPI,regular
629,984,134626.0,2007,ford mustang,3555.4,Convertible,Gas V8,6.68,210.0,187.6,73.9,29011.5,4.0,2.0,107.1,55.06,16.0,85.0,19.0,rear wheel,Regular,5-speed manual transmission,Subcompact,SEFI,regular
630,989,134626.0,2007,chevrolet trailblazer,,,,,395.0,43.7,74.7,5637.0,5.0,4.0,113.0,67.83,22.0,,17.0,rear wheel,Gas,,,,regular
631,990,130125.0,2007,ford edge,4155.0,four dr Car,Gas V6,6.87,265.0,185.7,87.1,28060.0,5.0,4.0,111.2,67.2,19.5,108.4,20.5,front wheel,"Gas V6, 3.5L",6-speed automatic transmission,four WD Sport Utility Vehicles,SMPI,regular
632,991,128312.0,2007,chevrolet malibu,3299.6,four dr Car,Gas V6,7.48,217.0,188.3,69.9,20588.0,5.0,4.0,106.3,57.5,16.0,101.0,25.0,front wheel,Regular,"Transmission, four -speed automatic, electronically controlled with over, includes electronic range selector",Midsize,SFI,regular
633,994,127878.0,2007,toyota highlander,3913.3333333333294,Sport Utility,Gas V6,7.61,215.0,184.6,71.9,30544.2857142857,6.047619047619049,4.0,106.9,68.2428571428572,18.4380952380952,124.757142857143,21.0,front wheel,"Gas V6, 3.3L","5-speed ECT-i automatic transmission w/OD, snow mode",twoWD Sport Utility Vehicle,SFI,regular
634,995,120937.0,2007,jeep grand cherokee,4463.14285714286,Sport Utility,Gas V8,6.34,330.0,186.7,73.3,36317.8571428571,5.0,4.0,109.5,67.5571428571429,21.1,109.0,15.5,four wheel,"Gas V8, 5.7L",5-speed automatic transmission,four WD Sport Utility Vehicle,SMPI,regular
635,996,120636.0,2007,chrysler 300,3875.2,four dr Car,Gas V6,6.73,250.0,196.8,74.1,32012.5,5.0,4.0,120.0,58.55,18.6,106.6,23.0,rear wheel,"Gas V6, 3.5L",5-speed automatic transmission w/Autostick,Large,MPI,regular
636,997,120291.0,2007,mazda 3,,,,8.16,148.0,177.4,69.1,2501.0,,,103.9,57.7,14.5,189.0,27.0,front wheel,Regular,Manual 5-spd,Compact Cars,,regular
637,1002,119289.0,2007,dodge charger,3942.5,four dr Car,Gas V8,6.88,250.0,200.1,74.5,28294.1666666667,5.0,4.0,120.0,58.2,18.6666666666667,0.0,21.0,rear wheel,Regular,"5-speed automatic transmission w/OD, Autostick",Large,SMPI,regular
638,1006,119243.0,2007,jeep wrangler,3991.875,Sport Utility,Gas V6,7.52,205.0,173.4,73.9,24089.375,4.625,3.25,108.275,70.8375,20.1,103.5875,18.0,four wheel,"Gas V6, 3.8L",6-speed manual transmission,four WD Sport Utility Vehicle,SMPI,regular
639,1007,117146.0,2007,honda pilot,4419.5,Sport Utility,Gas V6,8.31,244.0,188.0,77.5,31925.0,8.0,4.0,106.3,71.25,20.4,150.3,21.0,front wheel,"Gas V6, 3.5L",5-speed automatic transmission w/OD,twoWD Sport Utility Vehicle,MPFI,regular
640,1008,106522.0,2007,nissan sentra,2968.42857142857,four dr Car,Gas Ifour ,7.06,140.0,179.8,70.5,17157.1428571429,5.0,4.0,105.7,59.5,14.5,97.0,28.0,front wheel,Regular,6-speed manual transmission,Compact,SMPI,regular
641,1012,105175.0,2007,chevrolet hhr,,,,8.93,149.0,176.2,69.1,2880.0,5.0,4.0,103.5,63.1,16.0,,23.5,front wheel,Gas,,,,regular
642,1013,103340.0,2007,lexus rx,,,,7.16,270.0,186.2,72.6,6732.0,,,106.9,66.1,19.2,,20.5,front wheel,Gas,,,,regular
643,1014,101079.0,2007,dodge caliber,,,,,172.0,173.8,68.8,3608.0,5.0,4.0,103.7,27.6,13.5,0.0,26.0,all wheel,Regular,Manual 5-spd,Small Station Wagons,,regular
644,1019,99585.0,2007,chrysler pt cruiser,,,,8.74,150.0,168.9,67.1,3501.0,5.0,4.0,103.0,63.0,15.0,0.0,19.0,front wheel,Premium,Automatic four -spd,Sport Utility Vehicle - twoWD,,premium
645,1023,98951.0,2007,volkswagen jetta,3184.2,Station Wagon,Gas I5,9.04,150.0,179.3,70.1,20641.0,5.0,4.0,100.25,58.0,14.5,91.0,24.0,front wheel,Premium,5-speed manual transmission w/sport mode (delayed introduction),Compact,SMPI,premium
646,1027,93130.0,2007,chrysler sebring,,,,,,,,,,,,,,0.0,24.0,front wheel,Regular,Automatic four -spd,Midsize Cars,,regular
647,1030,92421.0,2007,hyundai santa fe,4022.0,Sport Utility,Gas V6,6.59,242.0,177.2,72.7,24270.0,5.0,4.0,103.1,66.0,19.0,108.0,21.5,front wheel,"Gas V6, two.7L","5-speed Shiftronic automatic transmission w/OD, manual shift control",twoWD Sport Utililty,MPI,regular
648,1031,92105.0,2007,jeep liberty,,,,7.68,210.0,174.7,71.8,4542.0,5.0,4.0,104.3,30.2,20.5,,20.0,rear wheel,Gas,,,,regular
649,1032,90287.0,2007,ford expedition,,Sport Utility,Gas V8,7.93,300.0,206.5,78.8,35445.0,7.0,4.0,119.0,77.2,28.0,,15.5,rear wheel,"Gas V8, 5.four L",6-speed automatic transmission w/OD,,SEFI,regular
650,1033,89552.0,2007,chevrolet equinox,3718.0,Sport Utility,Gas V6,,,,,23395.0,5.0,4.0,112.5,69.3,18.0,106.4,,front wheel,"Gas V6, 3.four L","Transmission, 5-speed automatic, electronically controlled",twoWD Sport Utility Vehicle,SFI,regular
651,1034,87718.0,2007,toyota four runner,4334.16666666667,Sport Utility,Gas V8,7.34,260.0,189.2,75.2,32650.0,5.0,4.0,109.8,70.5666666666667,23.0,103.1,17.5,rear wheel,"Gas V8, four .7L",5-speed ECT automatic transmission w/OD,twoWD Sport Utility Vehicle,SMPI,regular
652,1035,87622.0,2007,pontiac grand prix,,,,8.27,200.0,198.3,71.6,3926.0,5.0,4.0,110.5,55.9,17.0,97.0,20.0,front wheel,Premium,Automatic four -spd,Midsize Cars,,premium
653,1039,85724.0,2007,hyundai elantra,2847.0,four dr Car,Gas Ifour ,8.47,138.0,177.4,69.9,15995.0,5.0,4.0,104.3,58.3,14.0,98.0,28.0,front wheel,Regular,"four -speed automatic transmission w/OD, lock-up torque converter",Mid-Size,MPI,regular
654,1041,84799.0,2007,toyota yaris,2307.16666666667,four dr Car,Gas Ifour ,9.06,106.0,169.3,66.5,12625.0,5.0,3.33333333333333,99.2333333333333,58.33333333333329,11.1,172.0,31.0,front wheel,Regular,four -speed auto transmission w/OD,Subcompact,SFI,regular
655,1043,84767.0,2007,saturn vue,,,,9.32,143.0,181.3,71.6,3145.0,5.0,4.0,106.6,66.3,16.0,,26.0,front wheel,Gas,,,,regular
656,1044,83804.0,2007,dodge avenger,,,,,,,,,,,,,,,,,,,,,
657,1045,83673.0,2007,chevrolet suburban,,Sport Utility,Gas V8,7.625,338.0,69.6,49.1,39336.0,7.4,4.0,130.0,76.8,34.2,,17.5,rear wheel,"Gas V8, 6.0L","Transmission, four -speed automatic, electronically controlled with over and tow/haul mode (Requires 1/two ton models.)",,SFI,regular
658,1046,82923.0,2007,buick lucerne,,,,7.2,275.0,203.2,73.8,5539.0,5.0,4.0,115.6,58.0,18.0,108.0,20.0,front wheel,Regular,Automatic four -spd,Large Cars,,regular
659,1048,82867.0,2007,lexus es,3580.0,four dr Car,Gas V6,6.72,272.0,191.1,71.7,33470.0,5.0,4.0,109.3,57.3,18.5,95.4,25.5,front wheel,"Gas V6, 3.5L",6-speed automatic electronically controlled transmission w/intelligence (ECT-i)-inc: sequential-shift,Compact,SFI,regular
660,1049,79443.0,2007,nissan versa,2735.0,four dr Car,Gas four -cyl,,122.0,169.1,66.7,14000.0,5.0,4.0,102.4,60.4,13.2,189.0,28.0,front wheel,Regular,6-speed manual transmission,Compact,SMPI,regular
661,1052,78428.0,2007,subaru legacy outback,,,,,,,,,,,,,,,,,,,,,
662,1053,76358.0,2007,nissan murano,3921.0,Sport Utility,Gas V6,7.09,240.0,187.6,74.0,29830.0,5.0,4.0,111.2,66.5,21.7,109.9,20.0,all wheel,"Gas V6, 3.5L",,AWD Sport Utility,SMFI,regular
663,1054,75716.0,2007,chevrolet colorado,,Regular Cab Pickup - Short Bed,Gas 5-Cyl,,242.0,192.8,42.6,18513.0,4.26666666666667,2.4,121.1,66.53,19.0,,19.0,rear wheel,"Gas 5-Cyl, 3.7L","Transmission, four -speed automatic, electronically controlled with over (Refer to the Engine and Axle section for compatibility requirements. Must specify)",,MFI,regular
664,1055,74825.0,2007,dodge nitro,,,,8.08,210.0,178.9,73.1,4395.0,,,108.8,69.9,19.5,,18.0,four wheel,Gas,,,,regular
665,1056,73474.0,2007,kia spectra,,,,8.92,138.0,177.2,68.3,2321.0,5.0,4.0,102.8,57.9,14.0,195.0,26.0,front wheel,Regular,Automatic four -spd,Midsize Cars,,regular
666,1058,72945.0,2007,toyota avalon,3548.75,four dr Car,Gas V6,5.86,268.0,197.2,72.8,30347.5,5.0,4.0,111.0,58.5,18.5,107.0,23.0,front wheel,Regular,5-speed automatic ECT-i transmission w/OD & sequential shift,Large,EFI,regular
667,1059,72765.0,2007,gmc acadia,4829.0,Sport Utility,Gas V6,7.5,275.0,200.7,78.2,32240.0,7.0,4.0,118.9,69.9,22.0,,20.5,front wheel,"Gas V6, 3.6L","Transmission, 6-speed automatic, electronically controlled with over (Included and only available with TV1four 5two6 AWD models.)",four WD Sport Utility Vehicle,MPFI,regular
668,1060,72711.0,2007,ford ranger,,Extended Cab Pickup - Short Bed,Gas V6,,143.0,,40.5,18655.5769230769,3.38461538461538,2.0,120.688461538462,67.6,18.9038461538462,,26.5,rear wheel,"Gas V6, 3.0L",5-speed manual transmission w/OD,,SMPI,regular
669,1061,71809.0,2007,infiniti g,,,,,,,,,,,,,,,,,,,,,
670,1062,69885.0,2007,chevrolet uplander,,,,8.36,240.0,204.3,72.0,3978.0,7.0,4.0,121.1,72.0,25.0,,19.5,front wheel,Gas,,,,regular
671,1063,67028.0,2007,chevrolet aveo,,,,9.705,103.0,169.7,67.3,2147.5,5.0,4.0,97.6,58.9,11.0,91.0,26.0,front wheel,Regular,Automatic four -spd,Subcompact Cars,,regular
672,1067,65746.0,2007,nissan titan,,Crew Cab Pickup - Short Bed,Gas V8,,317.0,,78.8,29616.6666666667,5.0,3.0,139.8,75.85,28.0,,16.0,rear wheel,"Gas V8, 5.6L",5-speed automatic transmission w/tow/haul mode,,FFV,regular
673,1068,64397.0,2007,nissan frontier,,Extended Cab Pickup - Short Bed,Gas V6,7.09,261.0,205.5,44.4,23126.0,4.56,3.12,129.336,70.452,21.044,,18.0,rear wheel,"Gas V6, four .0L",5-speed automatic transmission w/OD,,- TBD -,regular
674,1069,63852.0,2007,scion tc,,,,8.64,161.0,174.0,69.1,2736.0,5.0,2.0,106.3,55.7,14.5,85.0,24.0,front wheel,Regular,Automatic four -spd,Subcompact Cars,,regular
675,1071,63701.0,2007,mercedes benz c class,3525.0,four dr Car,Gas V6,6.98,201.0,178.4,68.0,35875.0,5.0,4.0,106.9,55.2666666666667,16.4,89.0,20.0,rear wheel,"Gas V6, 3.5L",6-speed fully synchronized manual transmission-inc: direct-action short-throw shifter,Compact,SMPI,regular
676,1072,63428.0,2007,gmc yukon,,Sport Utility,Gas V8,7.06,320.0,49.4,79.0,37217.5,5.5,4.0,116.0,76.9,26.0,,19.0,rear wheel,"Gas/Ethanol V8, 5.3L","Transmission, four -speed automatic, electronically controlled with over and tow/haul mode",,SFI,gas/ethanol
677,1073,63056.0,2007,nissan pathfinder,4603.28571428572,Sport Utility,Gas V6,,,,,30050.0,7.0,4.0,112.2,73.1285714285714,21.1,149.1,,four wheel,"Gas V6, four .0L",5-speed automatic transmission,four WD Sport Utility,SMPI,regular
678,1074,63027.0,2007,jeep commander,,,,8.67,235.0,188.5,74.8,6569.0,,,109.5,75.6,21.1,,16.0,four wheel,Gas,,,,regular
679,1075,60991.0,2007,cadillac escalade,,Sport Utility,Gas V8,6.34,403.0,202.5,79.0,55947.5,7.0,4.0,116.0,74.5,26.0,,15.5,all wheel,"Gas V8, 6.twoL","Transmission, 6-speed automatic, heavy-duty, 6L80E, electronically controlled with over and tow/haul mode",,SFI,regular
680,1076,60901.0,2007,ford crown victoria,,,,7.88,224.0,218.0,77.3,4890.0,,,120.7,58.9,19.0,107.0,18.0,rear wheel,Regular,Automatic four -spd,Large Cars,,regular
681,1078,59964.0,2007,saturn aura,,,,7.68,224.0,190.9,70.3,3662.0,5.0,4.0,112.3,57.6,16.0,98.0,21.0,front wheel,Regular,Automatic four -spd,Midsize Cars,,regular
682,1080,58606.0,2007,acura mdx,4561.6,Sport Utility,Gas V6,6.6,300.0,190.7,78.5,44515.0,7.0,4.0,108.3,65.9,21.0,142.2,17.5,four wheel,"Gas V6, 3.7L",5-speed automatic transmission w/OD & Sequential SportShift,four WD Sport Utility Vehicle,PGM-FI,regular
683,1081,58545.0,2007,acura tl,,,,7.05,258.0,189.3,72.2,6052.0,5.0,4.0,107.9,56.7,17.1,98.0,21.0,front wheel,Premium,Automatic (S5),Midsize Cars,,premium
684,1084,57575.0,2007,mazda 6,,,,8.5,156.0,186.8,70.1,3443.0,,,105.3,56.7,18.0,192.0,24.0,front wheel,Regular,Manual 5-spd,Midsize Cars,,regular
685,1089,57029.0,2007,cadillac cts,3509.0,four dr Car,Gas V6,6.91,210.0,190.1,70.6,31355.0,5.0,4.0,113.4,56.7,17.0,99.0,19.0,rear wheel,Regular,"Transmission, Aisin 6-speed manual (Must specify a transmission.)",Mid-Size,SFI,regular
686,1093,56432.0,2007,honda fit,2492.0,four dr Car,Gas Ifour ,9.29,109.0,157.4,66.2,14910.0,5.0,4.0,96.5,60.0,10.8,90.0,30.0,front wheel,Regular,5-speed manual transmission,Sub-Compact,PGM-FI,regular
687,1096,55550.0,2007,chevrolet avalanche,,,,7.8,315.0,,50.0,5842.0,6.0,4.0,130.0,76.6,31.0,,17.75,four wheel,Gas,,,,regular
688,1097,55170.0,2007,toyota fj cruiser,,,,7.5,239.0,183.9,74.6,3979.0,5.0,4.0,105.9,70.9,19.0,,20.5,rear wheel,Gas,,,,regular
689,1098,54933.0,2007,lexus is,,,,6.98,204.0,180.1,70.9,5445.0,,,107.5,56.1,17.1,101.3,22.0,rear wheel,Gas,,,,regular
690,1099,54142.0,2007,bmw 5,3695.71428571429,four dr Car,Gas I6,6.13,255.0,191.2,72.7,54214.2857142857,5.0,4.0,113.685714285714,58.0714285714286,18.5,98.7285714285714,21.5,rear wheel,"Gas I6, 3.0L",6-speed manual transmission w/OD,Mid-Size,- TBD -,regular
691,1100,53947.0,2007,chrysler pacifica,4384.83333333333,Station Wagon,Gas V6,7.48,255.0,198.5,79.3,29910.0,5.66666666666667,4.0,116.3,66.3,23.0,143.5,18.0,front wheel,"Gas V6, four .0L",6-speed automatic transmission w/Autostick,Large,- TBD -,regular
692,1101,52574.0,2007,nissan maxima,3585.0,four dr Car,Gas V6,6.2,255.0,194.4,71.7,29175.0,5.0,4.0,111.2,58.3,20.0,104.0,21.0,front wheel,Premium,5-speed automatic transmission w/manual mode,Mid-Size,SMPI,premium
693,1102,51469.0,2007,cadillac dts,,,,6.93,292.0,207.6,74.8,8801.0,5.0,4.0,115.6,57.6,18.0,113.0,18.0,front wheel,Regular,Automatic four -spd,Large Cars,two75 HP,regular
694,1104,51355.0,2007,nissan xterra,,,,6.6,261.0,178.7,72.8,4527.0,5.0,4.0,106.3,74.9,21.1,,18.0,four wheel,Gas,,,,regular
695,1105,50702.0,2007,dodge dakota,,,,,210.0,,45.2,4251.0,2.0,2.0,131.3,68.7,22.0,,18.0,four wheel,Gas,,,,regular
696,1106,50664.0,2007,mercury grand marquis,,,,7.97,224.0,211.1,78.3,5322.0,6.0,4.0,114.6,26.8,19.0,107.0,18.0,rear wheel,Regular,Automatic four -spd,Large Cars,,regular
697,1108,49393.0,2007,kia sportage,3378.71428571429,Sport Utility,Gas V6,8.25,173.0,171.3,70.9,19938.5714285714,5.0,4.0,103.5,66.7,16.3857142857143,103.9,21.0,front wheel,"Gas V6, two.7L",four -speed automatic transmission w/Sportmatic,twoWD Sport Utility Vehicle,MPFI,regular
698,1109,48950.0,2007,mercedes benz e class,3953.0,four dr Car,Gas V8,8.03,208.0,191.0,71.7,62668.75,5.25,4.0,112.4,58.625,21.1,96.75,27.5,rear wheel,"Gas V6, 3.5L","7-speed automatic r-adaptive transmission-inc: Touch Shift, optimum gear programming, comfort mode, electronically controlled shifting",Mid-Size,SFI,regular
699,1110,48586.0,2007,gmc envoy,,,,7.21,291.0,39.7,46.1,5538.0,5.0,4.0,113.0,71.9,22.0,,19.0,rear wheel,Gas,,,,regular
